NO,NO,TRAIN,NAME,FROM,DEP,TO,ARR
11034,11034,11034,DBG PUNE EXP    ,DARBHANGA JN   ,17:00,PUNE JN        ,08:05
11035,11035,11035,SHARAVATHI EXP  ,DADAR          ,21:30,MYSORE JN      ,21:40
11036,11036,11036,SHARAVATI  EXP  ,MYSORE JN      ,06:30,DADAR          ,05:50
11037,11037,11037,PA GORAKHPUR EXP,PUNE JN        ,16:15,GORAKHPUR JN   ,01:20
11038,11038,11038,GKP PUNE EXPRESS,GORAKHPUR JN   ,15:30,PUNE JN        ,04:05
11039,11039,11039,MAHARASHTRA EXP ,C SHAHUMHARAJ T,15:30,GONDIA JN      ,20:15
11040,11040,11040,MAHARASHTRA EXP ,GONDIA JN      ,08:20,C SHAHUMHARAJ T,12:45
11041,11041,11041,CSTM CHENNAI EX ,MUMBAI CST     ,14:00,CHENNAI CENTRAL,16:45
11042,11042,11042,MUMBAI EXPRESS  ,CHENNAI CENTRAL,11:55,MUMBAI CST     ,13:45
11043,11043,11043,MADURAI EXPRESS ,LOKMANYATILAK T,00:15,MADURAI JN     ,12:30
11044,11044,11044,LOKAMANYA TT EXP,MADURAI JN     ,18:00,LOKMANYATILAK T,05:45
11045,11045,11045,DIKSHABHOOMI EXP,C SHAHUMHARAJ T,23:45,DHANBAD JN     ,12:00
11046,11046,11046,DIKSHABHUMI EXP ,DHANBAD JN     ,13:55,C SHAHUMHARAJ T,03:45
11047,11047,11047,MIRAJ UBL EXP   ,MIRAJ JN       ,00:10,HUBLI JN       ,06:25
11048,11048,11048,UBL MRJ EXPRESS ,HUBLI JN       ,23:00,MIRAJ JN       ,05:15
11049,11049,11049,KOLHAPUR EXPRESS,AHMEDABAD JN   ,19:55,C SHAHUMHARAJ T,15:25
11050,11050,11050,AHMEDABAD EXP   ,C SHAHUMHARAJ T,12:50,AHMEDABAD JN   ,07:45
11051,11051,11051,SUR KOP EXP     ,SOLAPUR JN     ,23:35,C SHAHUMHARAJ T,06:20
11052,11052,11052,KOP SOLAPUR EXP ,C SHAHUMHARAJ T,23:55,SOLAPUR JN     ,07:45
11055,11055,11055,GODAN EXPRESS   ,LOKMANYATILAK T,10:55,GORAKHPUR JN   ,20:15
11056,11056,11056,GODAN EXPRESS   ,GORAKHPUR JN   ,06:25,LOKMANYATILAK T,16:05
11057,11057,11057,AMRITSAR EXPRES ,LOKMANYATILAK T,23:45,AMRITSAR JN    ,16:30
11058,11058,11058,ASR LTT EXPRESS ,AMRITSAR JN    ,08:30,LOKMANYATILAK T,03:50
11059,11059,11059,CHHAPRA EXPRESS ,LOKMANYATILAK T,10:55,CHHAPRA        ,20:55
11060,11060,11060,CPR LTT EXPRESS ,CHHAPRA        ,05:30,LOKMANYATILAK T,16:05
11061,11061,11061,MUZAFFARPUR EXP ,LOKMANYATILAK T,12:15,MUZAFFARPUR JN ,22:30
11062,11062,11062,MFP LTT EXPRESS ,MUZAFFARPUR JN ,15:50,LOKMANYATILAK T,03:40
11063,11063,11063,MS SALEM EXP    ,CHENNAI EGMORE ,23:00,SALEM JN       ,06:35
11064,11064,11064,SA CHENNAI EXP  ,SALEM JN       ,21:00,CHENNAI EGMORE ,04:40
11065,11065,11065,DARBHANGA  EXP  ,LOKMANYATILAK T,12:15,DARBHANGA JN   ,01:20
11066,11066,11066,DBG LTT EXPRESS ,DARBHANGA JN   ,13:10,LOKMANYATILAK T,03:40
11067,11067,11067,SAKET EXPRESS   ,LOKMANYATILAK T,05:20,FAIZABAD JN    ,09:25
11068,11068,11068,SAKET EXPRESS   ,FAIZABAD JN    ,15:35,LOKMANYATILAK T,21:40
11069,11069,11069,TULSI EXPRESS   ,LOKMANYATILAK T,05:20,ALLAHABAD JN   ,08:50
11070,11070,11070,TULSI EXPRESS   ,ALLAHABAD JN   ,16:15,LOKMANYATILAK T,21:40
11071,11071,11071,KAMAYANI EXPRESS,LOKMANYATILAK T,12:40,VARANASI JN    ,19:25
11072,11072,11072,KAMAYANI EXPRES ,VARANASI JN    ,15:50,LOKMANYATILAK T,23:05
11077,11077,11077,JHELUM EXPRESS  ,PUNE JN        ,17:20,JAMMU TAWI     ,10:00
11078,11078,11078,JHELUM EXPRESS  ,JAMMU TAWI     ,21:45,PUNE JN        ,14:35
11087,11087,11087,VERAVAL PUNE EXP,VERAVAL        ,07:50,PUNE JN        ,04:45
11088,11088,11088,PUNE VERAVAL EXP,PUNE JN        ,19:50,VERAVAL        ,16:50
11089,11089,11089,BGKTPUNE EXPRESS,BHAGAT KI KOTHI,05:40,PUNE JN        ,04:45
11090,11090,11090,PUNE JODHPUR EXP,PUNE JN        ,19:50,JODHPUR JN     ,17:10
11091,11091,11091,BHUJ PUNE EXP   ,BHUJ           ,08:30,PUNE JN        ,04:45
11092,11092,11092,PUNE BHUJ EXP   ,PUNE JN        ,19:50,BHUJ           ,15:20
11093,11093,11093,MAHANAGARI EXP  ,MUMBAI CST     ,00:10,VARANASI JN    ,04:40
11094,11094,11094,MAHANAGARI EXP  ,VARANASI JN    ,11:20,MUMBAI CST     ,14:15
11095,11095,11095,AHIMSA EXPRESS  ,AHMEDABAD JN   ,16:25,PUNE JN        ,04:45
11096,11096,11096,AHIMSA EXPRESS  ,PUNE JN        ,19:50,AHMEDABAD JN   ,07:45
11097,11097,11097,POORNA EXPRESS  ,PUNE JN        ,23:10,ERNAKULAM JN   ,04:10
11098,11098,11098,POORNA EXPRESS  ,ERNAKULAM JN   ,23:30,PUNE JN        ,05:05
11101,11101,11101,PUNE GWALIOR EXP,PUNE JN        ,00:25,GWALIOR        ,03:10
11102,11102,11102,GWL PUNE EXP    ,GWALIOR        ,15:00,PUNE JN        ,20:00
11103,11103,11103,JHS BDTS EXP    ,JHANSI JN      ,16:50,BANDRA TERMINUS,17:10
11104,11104,11104,BDTS JHANSI EXP ,BANDRA TERMINUS,05:10,JHANSI JN      ,06:25
11105,11105,11105,PRATHAM S S EXP ,KOLKATA        ,07:25,JHANSI JN      ,08:50
11106,11106,11106,PRATHAM S SNGRM ,JHANSI JN      ,20:40,KOLKATA        ,21:45
11107,11107,11107,BUNDELKHAND EXP ,GWALIOR        ,20:40,VARANASI JN    ,10:50
11108,11108,11108,BUNDELKHAND EXP ,VARANASI JN    ,17:45,GWALIOR        ,08:55
11109,11109,11109,JHS LJN  INT EXP,JHANSI JN      ,06:10,LUCKNOW NE     ,12:00
11110,11110,11110,LJN JHS INT EXP ,LUCKNOW NE     ,16:25,JHANSI JN      ,22:35
11123,11123,11123,BJU GWL MAIL    ,BARAUNI JN     ,18:45,GWALIOR        ,21:00
11124,11124,11124,GWL BJU MAIL    ,GWALIOR        ,11:45,BARAUNI JN     ,13:05
11125,11125,11125,IND GWALIAR EXP ,INDORE JN BG   ,20:05,GWALIOR        ,08:25
11126,11126,11126,GWL INDB EXPRES ,GWALIOR        ,19:30,INDORE JN BG   ,07:55
11201,11201,11201,LTT AJNI EXPRESS,LOKMANYATILAK T,15:50,AJNI           ,14:15
11202,11202,11202,AJNI LTT EXPRESS,AJNI           ,16:15,LOKMANYATILAK T,13:55
11203,11203,11203,NGP JAIPUR EXP  ,NAGPUR         ,11:55,JAIPUR         ,14:05
11204,11204,11204,JP NGP EXP      ,JAIPUR         ,16:30,NAGPUR         ,19:15
11205,11205,11205,LTT NZB EXPRESS ,LOKMANYATILAK T,16:40,NIZAMABAD      ,09:15
11206,11206,11206,NZB  LTT EXP    ,NIZAMABAD      ,23:15,LOKMANYATILAK T,13:55
11265,11265,11265,AMBIKAPUR EXPRES,JABALPUR       ,14:15,AMBIKAPUR      ,23:00
11266,11266,11266,ABKP JBP EXPRESS,AMBIKAPUR      ,06:20,JABALPUR       ,14:55
11271,11271,11271,VINDHYACHAL EXP ,ITARSI JN      ,16:20,BHOPAL  JN     ,09:25
11272,11272,11272,VINDHYACHAL EXP ,BHOPAL  JN     ,18:15,ITARSI JN      ,12:20
11301,11301,11301,UDYAN EXPRESS   ,MUMBAI CST     ,08:05,BANGALORE CY JN,08:50
11302,11302,11302,UDYAN EXP       ,BANGALORE CY JN,20:00,MUMBAI CST     ,19:55
11303,11303,11303,HYB KOP EXPRESS ,HYDERABAD DECAN,23:10,C SHAHUMHARAJ T,22:40
11304,11304,11304,KOP HYB EXPRESS ,C SHAHUMHARAJ T,07:35,HYDERABAD DECAN,06:45
11305,11305,11305,CSTM SOLAPUR EXP,MUMBAI CST     ,21:15,SOLAPUR JN     ,08:05
11306,11306,11306,SOLAPUR CSTM EXP,SOLAPUR JN     ,20:25,MUMBAI CST     ,05:15
11401,11401,11401,NANDIGRAM  EXP  ,MUMBAI CST     ,16:35,NAGPUR         ,16:15
11402,11402,11402,NANDIGRAM  EXP  ,NAGPUR         ,06:00,MUMBAI CST     ,05:40
11403,11403,11403,NGP KOP EXPRESS ,NAGPUR         ,15:00,C SHAHUMHARAJ T,14:15
11404,11404,11404,KOP NAGPUR EXP  ,C SHAHUMHARAJ T,12:50,NAGPUR         ,12:35
11405,11405,11405,PUNE AMI EXP    ,PUNE JN        ,22:00,AMRAVATI       ,15:00
11406,11406,11406,AMI PUNE EXP    ,AMRAVATI       ,18:30,PUNE JN        ,13:15
11423,11423,11423,SUR HUBLI EXP   ,SOLAPUR JN     ,06:25,HUBLI JN       ,14:30
11424,11424,11424,SOLAPUR EXPRESS ,HUBLI JN       ,15:00,SOLAPUR JN     ,23:15
11447,11447,11447,SHAKTIPUNJ EXP  ,JABALPUR       ,00:30,HOWRAH JN      ,04:15
11448,11448,11448,SHAKTIPUNJ EXP  ,HOWRAH JN      ,14:35,JABALPUR       ,15:45
11449,11449,11449,JAMMUTAWI EXP   ,JABALPUR       ,06:00,JAMMU TAWI     ,13:10
11450,11450,11450,JAT  JBP EXPRES ,JAMMU TAWI     ,23:45,JABALPUR       ,08:35
11451,11451,11451,INTERCITY EXP   ,JABALPUR       ,17:05,REWA           ,21:40
11452,11452,11452,INTERCITY EXP   ,REWA           ,06:00,JABALPUR       ,10:25
11453,11453,11453,PRERANA EXPRESS ,AHMEDABAD JN   ,16:35,NAGPUR         ,12:15
11454,11454,11454,PRERANA EXPRESS ,NAGPUR         ,09:35,AHMEDABAD JN   ,03:45
11463,11463,11463,SMNH JBP EXPRES ,SOMNATH        ,09:30,JABALPUR       ,15:10
11464,11464,11464,JBP SOMNATH EXP ,JABALPUR       ,12:00,SOMNATH        ,18:10
11465,11465,11465,SMNH JBP EXPRES ,SOMNATH        ,09:30,JABALPUR       ,18:30
11466,11466,11466,JBP SOMNATH EXP ,JABALPUR       ,10:00,SOMNATH        ,18:10
11471,11471,11471,INDB JBP EXP    ,INDORE JN BG   ,17:40,JABALPUR       ,05:40
11472,11472,11472,JBP INDB EXP    ,JABALPUR       ,23:00,INDORE JN BG   ,10:45
11651,11651,11651,SGRL  INTERCITY ,JABALPUR       ,15:15,SINGRAULI      ,22:10
11652,11652,11652,JBP INTERCITY EX,SINGRAULI      ,05:00,JABALPUR       ,11:40
11701,11701,11701,INDB INTERCITY  ,JABALPUR       ,05:00,INDORE JN BG   ,21:30
11702,11702,11702,JBP INTERCITY   ,INDORE JN BG   ,04:00,JABALPUR       ,20:25
11703,11703,11703,REWA INDB EXP   ,REWA           ,05:00,INDORE JN BG   ,20:30
11704,11704,11704,REWA EXPRESS    ,INDORE JN BG   ,04:00,REWA           ,22:30
12101,12101,12101,JNANESWARI DELX ,LOKMANYATILAK T,20:35,HOWRAH JN      ,03:35
12102,12102,12102,JNANESWARISUPDLX,HOWRAH JN      ,22:55,LOKMANYATILAK T,05:45
12103,12103,12103,PA LUCKNOW EXP  ,PUNE JN        ,16:15,LUCKNOW NE     ,17:10
12104,12104,12104,LJN PUNE EXP    ,LUCKNOW NE     ,06:30,PUNE JN        ,08:05
12105,12105,12105,VIDARBHA EXPRESS,MUMBAI CST     ,19:10,GONDIA JN      ,11:10
12106,12106,12106,VIDARBHA EXPRES ,GONDIA JN      ,14:55,MUMBAI CST     ,07:00
12107,12107,12107,LUCKNOW SUP EXP ,LOKMANYATILAK T,16:25,LUCKNOW NE     ,15:10
12108,12108,12108,LJN LTT EXPRESSS,LUCKNOW NE     ,22:45,LOKMANYATILAK T,22:45
12109,12109,12109,PANCHAVATI EXP  ,MUMBAI CST     ,18:15,MANMAD JN      ,22:50
12110,12110,12110,PANCHAVTI EXP   ,MANMAD JN      ,06:10,MUMBAI CST     ,10:45
12111,12111,12111,CSTM AMRAVATI EX,MUMBAI CST     ,20:05,AMRAVATI       ,08:15
12112,12112,12112,AMRAVATI CSTM EX,AMRAVATI       ,19:05,MUMBAI CST     ,06:25
12115,12115,12115,SIDDHESHWAR EXP ,MUMBAI CST     ,22:42,SOLAPUR JN     ,06:50
